{'intersect': 0.9308263695450325, 'score': 0.9308263695450325, 'examples_seen': 473616, 'step': 9250, 'algorithm': 'segments_intersect'},
{'intersect': 0.9105276574050472, 'score': 0.9105276574050472, 'examples_seen': 476240, 'step': 9300, 'algorithm': 'segments_intersect'},
{'intersect': 0.9194043961238478, 'score': 0.9194043961238478, 'examples_seen': 478640, 'step': 9350, 'algorithm': 'segments_intersect'},
{'intersect': 0.9218464351005484, 'score': 0.9218464351005484, 'examples_seen': 481264, 'step': 9400, 'algorithm': 'segments_intersect'},
{'intersect': 0.9286068418443233, 'score': 0.9286068418443233, 'examples_seen': 483888, 'step': 9450, 'algorithm': 'segments_intersect'},
{'intersect': 0.9168987929433612, 'score': 0.9168987929433612, 'examples_seen': 486448, 'step': 9500, 'algorithm': 'segments_intersect'},
{'intersect': 0.9245014245014245, 'score': 0.9245014245014245, 'examples_seen': 488912, 'step': 9550, 'algorithm': 'segments_intersect'},
{'intersect': 0.9192134565268893, 'score': 0.9192134565268893, 'examples_seen': 491536, 'step': 9600, 'algorithm': 'segments_intersect'},
{'intersect': 0.9147982062780269, 'score': 0.9147982062780269, 'examples_seen': 494160, 'step': 9650, 'algorithm': 'segments_intersect'},
{'intersect': 0.9254749147588893, 'score': 0.9254749147588893, 'examples_seen': 496560, 'step': 9700, 'algorithm': 'segments_intersect'},
{'intersect': 0.9251667078290936, 'score': 0.9251667078290936, 'examples_seen': 499184, 'step': 9750, 'algorithm': 'segments_intersect'},
{'intersect': 0.9252819548872181, 'score': 0.9252819548872181, 'examples_seen': 501808, 'step': 9800, 'algorithm': 'segments_intersect'},
{'intersect': 0.9301745635910225, 'score': 0.9301745635910225, 'examples_seen': 504368, 'step': 9850, 'algorithm': 'segments_intersect'},
{'intersect': 0.9244244244244244, 'score': 0.9244244244244244, 'examples_seen': 506832, 'step': 9900, 'algorithm': 'segments_intersect'},
{'intersect': 0.8787553648068669, 'score': 0.8787553648068669, 'examples_seen': 509456, 'step': 9950, 'algorithm': 'segments_intersect'},
