I0715 08:54:42.853235 137093019534848 run.py:723] (val) algo dfs step 6300: {'pi': 0.5087890625, 'score': 0.5087890625, 'examples_seen': 108032, 'step': 6300, 'algorithm': 'dfs'}
I0715 08:54:44.193088 137093019534848 run.py:723] (val) algo dfs step 6350: {'pi': 0.4833984375, 'score': 0.4833984375, 'examples_seen': 108896, 'step': 6350, 'algorithm': 'dfs'}
I0715 08:54:45.508963 137093019534848 run.py:723] (val) algo dfs step 6400: {'pi': 0.556640625, 'score': 0.556640625, 'examples_seen': 109744, 'step': 6400, 'algorithm': 'dfs'}
I0715 08:54:46.861185 137093019534848 run.py:723] (val) algo dfs step 6450: {'pi': 0.5078125, 'score': 0.5078125, 'examples_seen': 110592, 'step': 6450, 'algorithm': 'dfs'}
I0715 08:54:48.172231 137093019534848 run.py:723] (val) algo dfs step 6500: {'pi': 0.580078125, 'score': 0.580078125, 'examples_seen': 111440, 'step': 6500, 'algorithm': 'dfs'}
I0715 08:54:49.565101 137093019534848 run.py:723] (val) algo dfs step 6550: {'pi': 0.5, 'score': 0.5, 'examples_seen': 112272, 'step': 6550, 'algorithm': 'dfs'}
I0715 08:54:50.902710 137093019534848 run.py:723] (val) algo dfs step 6600: {'pi': 0.5751953125, 'score': 0.5751953125, 'examples_seen': 113168, 'step': 6600, 'algorithm': 'dfs'}
I0715 08:54:52.236898 137093019534848 run.py:723] (val) algo dfs step 6650: {'pi': 0.5556640625, 'score': 0.5556640625, 'examples_seen': 114048, 'step': 6650, 'algorithm': 'dfs'}
I0715 08:54:53.551896 137093019534848 run.py:723] (val) algo dfs step 6700: {'pi': 0.5302734375, 'score': 0.5302734375, 'examples_seen': 114880, 'step': 6700, 'algorithm': 'dfs'}
I0715 08:54:54.874583 137093019534848 run.py:723] (val) algo dfs step 6750: {'pi': 0.552734375, 'score': 0.552734375, 'examples_seen': 115744, 'step': 6750, 'algorithm': 'dfs'}
I0715 08:54:56.184039 137093019534848 run.py:723] (val) algo dfs step 6800: {'pi': 0.47265625, 'score': 0.47265625, 'examples_seen': 116576, 'step': 6800, 'algorithm': 'dfs'}
I0715 08:54:57.584129 137093019534848 run.py:723] (val) algo dfs step 6850: {'pi': 0.5224609375, 'score': 0.5224609375, 'examples_seen': 117456, 'step': 6850, 'algorithm': 'dfs'}
I0715 08:54:58.912668 137093019534848 run.py:723] (val) algo dfs step 6900: {'pi': 0.501953125, 'score': 0.501953125, 'examples_seen': 118288, 'step': 6900, 'algorithm': 'dfs'}
I0715 08:55:00.330410 137093019534848 run.py:723] (val) algo dfs step 6950: {'pi': 0.5478515625, 'score': 0.5478515625, 'examples_seen': 119168, 'step': 6950, 'algorithm': 'dfs'}
I0715 08:55:01.694929 137093019534848 run.py:723] (val) algo dfs step 7000: {'pi': 0.5205078125, 'score': 0.5205078125, 'examples_seen': 120032, 'step': 7000, 'algorithm': 'dfs'}
I0715 08:55:03.034543 137093019534848 run.py:723] (val) algo dfs step 7050: {'pi': 0.5498046875, 'score': 0.5498046875, 'examples_seen': 120896, 'step': 7050, 'algorithm': 'dfs'}
I0715 08:55:04.378342 137093019534848 run.py:723] (val) algo dfs step 7100: {'pi': 0.5107421875, 'score': 0.5107421875, 'examples_seen': 121760, 'step': 7100, 'algorithm': 'dfs'}
I0715 08:55:05.642619 137093019534848 run.py:723] (val) algo dfs step 7150: {'pi': 0.55859375, 'score': 0.55859375, 'examples_seen': 122608, 'step': 7150, 'algorithm': 'dfs'}
