{'pred': 0.798828125, 'score': 0.798828125, 'examples_seen': 282528, 'step': 8350, 'algorithm': 'bubble_sort'}
{'pred': 0.873046875, 'score': 0.873046875, 'examples_seen': 284256, 'step': 8400, 'algorithm': 'bubble_sort'}
{'pred': 0.755859375, 'score': 0.755859375, 'examples_seen': 285936, 'step': 8450, 'algorithm': 'bubble_sort'}
{'pred': 0.76171875, 'score': 0.76171875, 'examples_seen': 287616, 'step': 8500, 'algorithm': 'bubble_sort'}
{'pred': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 289264, 'step': 8550, 'algorithm': 'bubble_sort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 290944, 'step': 8600, 'algorithm': 'bubble_sort'}
{'pred': 0.8076171875, 'score': 0.8076171875, 'examples_seen': 292592, 'step': 8650, 'algorithm': 'bubble_sort'}
{'pred': 0.8212890625, 'score': 0.8212890625, 'examples_seen': 294368, 'step': 8700, 'algorithm': 'bubble_sort'}
{'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 296096, 'step': 8750, 'algorithm': 'bubble_sort'}
{'pred': 0.72265625, 'score': 0.72265625, 'examples_seen': 297776, 'step': 8800, 'algorithm': 'bubble_sort'}
{'pred': 0.744140625, 'score': 0.744140625, 'examples_seen': 299456, 'step': 8850, 'algorithm': 'bubble_sort'}
{'pred': 0.8544921875, 'score': 0.8544921875, 'examples_seen': 301104, 'step': 8900, 'algorithm': 'bubble_sort'}
{'pred': 0.826171875, 'score': 0.826171875, 'examples_seen': 302768, 'step': 8950, 'algorithm': 'bubble_sort'}
{'pred': 0.8388671875, 'score': 0.8388671875, 'examples_seen': 304448, 'step': 9000, 'algorithm': 'bubble_sort'}
{'pred': 0.8671875, 'score': 0.8671875, 'examples_seen': 306240, 'step': 9050, 'algorithm': 'bubble_sort'}
{'pred': 0.8173828125, 'score': 0.8173828125, 'examples_seen': 307952, 'step': 9100, 'algorithm': 'bubble_sort'}
{'pred': 0.8349609375, 'score': 0.8349609375, 'examples_seen': 309616, 'step': 9150, 'algorithm': 'bubble_sort'}
{'pred': 0.880859375, 'score': 0.880859375, 'examples_seen': 311296, 'step': 9200, 'algorithm': 'bubble_sort'}
{'pred': 0.783203125, 'score': 0.783203125, 'examples_seen': 312960, 'step': 9250, 'algorithm': 'bubble_sort'}
{'pred': 0.7763671875, 'score': 0.7763671875, 'examples_seen': 314624, 'step': 9300, 'algorithm': 'bubble_sort'}
{'pred': 0.7998046875, 'score': 0.7998046875, 'examples_seen': 316272, 'step': 9350, 'algorithm': 'bubble_sort'}
{'pred': 0.7646484375, 'score': 0.7646484375, 'examples_seen': 318064, 'step': 9400, 'algorithm': 'bubble_sort'}
{'pred': 0.8427734375, 'score': 0.8427734375, 'examples_seen': 319792, 'step': 9450, 'algorithm': 'bubble_sort'}
{'pred': 0.8271484375, 'score': 0.8271484375, 'examples_seen': 321472, 'step': 9500, 'algorithm': 'bubble_sort'}
{'pred': 0.8505859375, 'score': 0.8505859375, 'examples_seen': 323136, 'step': 9550, 'algorithm': 'bubble_sort'}
{'pred': 0.82421875, 'score': 0.82421875, 'examples_seen': 324800, 'step': 9600, 'algorithm': 'bubble_sort'}
{'pred': 0.841796875, 'score': 0.841796875, 'examples_seen': 326464, 'step': 9650, 'algorithm': 'bubble_sort'}
{'pred': 0.845703125, 'score': 0.845703125, 'examples_seen': 328112, 'step': 9700, 'algorithm': 'bubble_sort'}
{'pred': 0.8037109375, 'score': 0.8037109375, 'examples_seen': 329904, 'step': 9750, 'algorithm': 'bubble_sort'}
{'pred': 0.8232421875, 'score': 0.8232421875, 'examples_seen': 331616, 'step': 9800, 'algorithm': 'bubble_sort'}
{'pred': 0.87109375, 'score': 0.87109375, 'examples_seen': 333328, 'step': 9850, 'algorithm': 'bubble_sort'}
{'pred': 0.833984375, 'score': 0.833984375, 'examples_seen': 334976, 'step': 9900, 'algorithm': 'bubble_sort'}
{'pred': 0.8671875, 'score': 0.8671875, 'examples_seen': 336640, 'step': 9950, 'algorithm': 'bubble_sort'}
